Is_there_a_Project_associated_,Ward,Sub_ward_location_001,Sub_Location_mnagei,Sub_Location_kishaunet,Sub_Location_Keringet,Sub_ward_location,Sub_location_kapenguria,Sub_location_kapkoris,Sub_location_Chemwochoi,PB_or_HQ,Project_Name,Additional_Project_Details,Tender sum,Unsure tender sum,wb_pb:id,Added wb_pb:id,Category,Type_of_project,If_Other_what_is_the_project_type,What_is_the_project_s_apparent_status,Is_the_project_operational,Why_has_the_project_not_yet_started,Why_has_the_project_stalled,In_your_opinion_is_the_project_quality,Please_add_any_details_about_y,Additional_remark,image:project,image_project_inside,Notes Adele,Validation status on Kobo,Notes Peter & Lucy,Adele response to Peter/Lucy,,,
yes,mnagei,Kishaunet,,Lityei,,,,,,PB,Makutano Primary And Mnagei Secondary School,Renovation and Fencing of Makutano Primary and Mnagei Secondary school,"20,000,000.00",,278,,ETT,Other_1,Perimeter Wall,on_going,,,,adequate,"Wiring is incomplete.
The drainage system is incomplete.
The wall itself is incomplete.
The lower side should be fenced due to insecurity issues and a gate to be built for the students to access water at Tanga Tanga Springs. It should be fenced by the same barrier no mesh as proposed.",The drainage system should be completed and the wall too.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571907592480.jpg,,is the type Barrier correct or should it be Fencing?,Approved,"It is a perimeter wall, its been confirmed! check the photo",,,,
yes,mnagei,mnagei,psigirio,,,,,,,PB,Makutano Sports Stadium,Renovation of Makutano Sports Stadium - Phase 1,"12,221,398.28",,280,,YSTGSS,sports_ground,,completed,operational,,,adequate,"The project is completed and operational.
It has nurtured talent and promoted sports in the region.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571734567147.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571734619235.jpg,corrected project name and description. the same as the phase 2 but different tender sum,Approved,,,,,
yes,mnagei,mnagei,psigirio,,,,,,,PB,Makutano Sports Stadium,Renovation of Makutano Sports Stadium - Phase 2,"3,486,183.06",,280,,YSTGSS,sports_ground,,completed,operational,,,adequate,"The project is completed and operational.
It has helped nurture talent and promote sports in the region.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571734958568.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571734973262.jpg,corrected description. the same as the pahse 1 but different tender sum,Approved,,,,,
yes,mnagei,Kishaunet,,Lityei,,,,,,PB,Makutano Stalls,Poultry Stalls at Makutano,"350,000.00",,281,,TIICD,market_stall,,on_going,,,,adequate,"The project quality is good for poultry.
The project will promote poultry farming.","Despite the fact being in use proper foundation should be established ie cementing.
They should install roofs.
They should add more stalls to accommodate more chickens.
The chairman is proposing construction of an office for easy management.",https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571912791253.jpg,,nothing,Approved,,,,,
yes,mnagei,mnagei,psigirio,,,,,,,PB,Murkwijit Dispensary,Construction of the Murkwijit Dispensary,"1,300,000.00",,285,,HS,dispensary,,completed,operational,,,adequate,"The project is complete and operational.
It has helped the people in the community access basic health care services.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571742556376.jpg,,corrected description,Approved,,,,,
yes,mnagei,kishaunet,,kishaunet,"
",,,,,PB,Nangrotum ECDE,Construction of ECDE classrooms,"800,000.00",,290,,ETT,ecde_centre,,on_going,,,,adequate,"Physical observation: The construction of the classroom has been done well, the roofing material and the building material is of good quality. Impact: the school will improve the standard of education and lower illiteracy level in community.",The project is not operational. It is still under construction.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/IMG_20191022_135411-14_48_48.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571741751675.jpg,Corrected spelling errors + internal photo not url in the whole document,Approved,,,,,
yes,mnagei,Kishaunet,,Kishaunet,,,,,,PB,Nateleng ECDE,Completion of classrooms at Nateleng ECDE,"500,000.00",,293,,ETT,ecde_centre,,completed,operational,,,excellent,"Physical observation: 
The building is well constructed based on the materials used. 
Impact:
It has improved the appearance of the school, and also created space of learning for the junior pupils.",There is an immediate need to construct a toilet for the ECDE and also furnish the classrooms.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571911192397.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571911221232.jpg,corrected spelling mistake,Approved,,,,,
yes,mnagei,mnagei,keringet,,,,,,,PB,Ngrokal Irrigation Scheme,Proposed construction of Ngrokal irrigation scheme intake works,"1,989,000.00",,294,,PEAGRI,irrigation_scheme,,completed,operational,,,adequate,"The project is completed and operational.
It will assist in promoting crop farming in the area and improving food security alike.",Maintenance needs to be done,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571989695158.jpg,,corrected grammar,Approved,done,it still miss location and sublocation,,,
yes,mnagei,Kishaunet,,Sukut,,,,,,PB,Nokowo-Tampalal Water Pan,Construction of Nokowo Tampalal Water Pan,"328,000.00",,295,,WENR,Other_1,Water Pan,completed,non_operational,,,adequate,"Physical observation:
The material used for construction is not quality and it's not in good state.
Impact:
The facility will improve water distribution to the residence around.",The projects needs to be improvised in that sand has filled the pan and pipes should be fixed to start distributing water.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571918705789.jpg,,corrected grammar,Approved,,,,,
yes,mnagei,kishaunet,,lityei,,,,,,PB,Parking and Storm Water drainage Makutano,Proposed construction of Makutano parking and Storm water drainage,"29,924,056.00",,296,,LHPPUD,parking_space,,completed,non_operational,,,adequate,"The project is under renovation.
Painting has been done.
It will provide sufficient parking space.",Awaiting to be re-opened.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1572421198334.jpg,,corrected grammar,Approved,,,,,
yes,mnagei,Mnagei,Keringet,,,,,,,PB,Pser Cattle Dip,Renovation of Pser Cattle Dip,"496,514.80",,297,,PEAGRI,Other_1,Cattle dip,completed,operational,,,adequate,"The facility is in use.
The cattle dip will help in controlling pests and diseases.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571917019923.jpg,,corrected capitalization,Approved,,,,,
yes,mnagei,Mnagei,Keringet,,,,,,,PB,Pser ECDE,Construction of ECDE Classroom,"1,000,000.00",,298,,ETT,ecde_centre,,on_going,,,,adequate,"The project ongoing.
The project once complete will improve education, it will enroll more students thus improving education standards in the community.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571915360694.jpg,,corrected grammar,Approved,,,,,
yes,mnagei,mnagei,psigirio,,,,,,,PB,Psigirio Cattle Dip,Rehabilitation of Psigirio cattle Dip,"495,000.00",,300,,PEAGRI,Other_1,Cattle Dip,completed,operational,,,adequate,"The project is complete and operational.
It promotes the community's livestock health by eradicating external pests.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571747744278.jpg,,nothing,Approved,,,,,
yes,mnagei,mnagei,psigirio,,,,,,,PB,Psigirio Dispensary,Construction of Psigirio Dispensary,"1,846,995.00",,301,,HS,dispensary,,completed,operational,,,excellent,"The project is complete and operational.
It has helped the locals access necessary health services.",Shortage of medical officers.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571746658279.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571746695073.jpg,corrected spelling mistake,Approved,,,,,
yes,mnagei,mnagei,psigirio,,,,,,,PB,Psigirio Dispensary,Construction of Psigirio Dispensary Staff Houses,"3,999,562.00",,302,,HS,dispensary,,on_going,,,,adequate,The project is ongoing.,Finishing should be hurried up.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571747110136.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571747124374.jpg,corrected project name,Approved,,,,,
yes,mnagei,Kishaunet,,Kishaunet,,,,,,PB,Simitei ECDE,Construction of ECDE classroom,"500,000.00",,305,,ETT,ecde_centre,,completed,operational,,,excellent,"Physical observation: 
The building is well constructed and equiped.
Impact:
It has helped increasing enrollment of children within the community.",The tank is disposed and not in use.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571920415785.jpg,,corrected grammar,Approved,,,,,
yes,mnagei,Keringet,,lokornoi,,,,,,PB,Soybei irrigation scheme,Minor rehabilitation of Soybei irrigation scheme,,"17,004,350.00 / 1,498,620.00",306,,WENR,irrigation_scheme,,completed,operational,,,adequate,"During the rainy season, the citizens use rain.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571912387732.jpg,,corrected capitalization. tender sum to be confirmed because there are two on project list but this might be the second only. department to be confirmed (two different on project list),Approved,"the depertment is water, that has been corrected",which is the correct department?,,,
yes,mnagei,Kishaunet,,Kishaunet,,,,,,PB,Tampalal Dispensary,Construction of Tampalal Dispensary,,"1,300,000.00 / 2,700,000.00",308,,HS,dispensary,,on_going,,,,excellent,"Physical observation:
The building is well constructed. 
Impact:
The residents around the area will be able to access medical services easily.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571913862620.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571913902865.jpg,"that's budget, not tender sum and it needs to be confirmed because two on project list for two different financial years",Approved,,,,,
yes,mnagei,kishaunet,,Lityei,"
",,,,,PB,Tanga Tanga Springs,Tanga Tanga Springs protection,"1,800,000.00",,309,,WENR,Water_project,,completed,operational,,,adequate,"The spring is well protected.
It provides clean and safe water for the whole community and town.","Improve route channel to the spring.
Storage tanks should be constructed to conserve more water and prevent wastage through leakage and overflow.",https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571743204727.jpg,,"the physical observation/impact was erroneously in the description, while remarks in obersevations, so shifted and added description as in project list",Approved,,,,,
yes,mnagei,mnagei,keringet,,,,,,,PB,Tartar and Talau Cattle Dip,Rehabilitation of Tartar and Talau Cattle Dip,"799,124.00",,311,,PEAGRI,Other_1,Cattle Dip,completed,operational,,,adequate,"The project is complete and operational.
It has assisted in the prevention of livestock pests and diseases.",Maintenance needs to be done,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571987472999.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571987490083.jpg,corrected project name and grammar,Approved,,,,,
yes,mnagei,mnagei,tartar,,,,,,,PB,Tartar Coffee Factory,Renovation to Tartar Coffee Factory Kapenguria,"12,205,806.00",,312,,TIICD,Other_1,Coffee Factory,completed,operational,,,excellent,"The project is completed and operational.
It has helped the community coffee farmers to process their product.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571993325496.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571993348423.jpg,corrected grammar. department the one mapped or the one on the list? is the type other > coffee factory okay?,Approved,"the department is correct, so is the type of project",,,,
yes,mnagei,mnagei,tartar,,,,,,,PB,Tartar Keringet Water Supply,Service for the filter media replacements for Tartar-Keringet Water Supply,"580,000.00",,313,,WENR,Water_project,,completed,operational,,,excellent,"The project is completed and operational, it has helped the community access clean water.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571994637453.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571994660933.jpg,corrected capitalization,Approved,,,,,
yes,mnagei,Kishaunet,Sukut,,,,,,,PB,Totum ECDE,Construction of Totum ECDE,"800,000.00",,316,,ETT,ecde_centre,,on_going,,,,excellent,"Physical observation:
The materials used in the construction were of good quality. 
Impact: 
The new constructed building has helped the pupils because initially they were taught in church and they had no enough facility. Also it will increase enrolment of students.","There is need of more chairs, tables and storage facility.",https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571922958341.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571923000807.jpg,nothing,Approved,,,,,
yes,mnagei,Kishaunet,,Sukut,,,,,,PB,Totum Primary School,Field levelling and grading of Totum Primary School Playground,"500,000.00",,317,,YSTGSS,Other_1,Playground,on_going,,,,adequate,"Physical observation: 
The levelling has not been done to a satisfactory level.
Impact:
Once done the playground will improve extra curriculum activities in the school.",The work started but stopped at one point due to insufficient funds. During the rainy the water is draining into the classrooms,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571923524319.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571923539368.jpg,"corrected project name, description and grammar",Approved,"playground is correct, ok",Type: is other>playground correct or should it be sport ground?,,,
yes,mnagei,Kshaunet,Sukut,,,,,,,PB,Totum Vocational Training Centre,Construction of Totum polytechnic and proposed construction of two classrooms and administration block at Totum vocational training  centre in West Pokot county,,"4,000,000.00 / 3,999,714.80",318,,ETT,Other_1,Vocational training centre,stalled,,,land_dispute,adequate,Physical observation: The materials used for foundation are of good quality. Impact: The institution will improve academic standards in the county.,The construction was started but stopped due to land dispute.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571924390893.jpg,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1571924408872.jpg,"corrected project name, and capitalization. Tender sum to be confirmed: there are two in project list",Approved,,,,,

yes,kapenguria,,,,,kapenguria,chewoyet,,,PB,Aramaket-Kasurum road,Proposed improvement and maintenance works:Aramaket-Kasurum road,"920,460.00",,3,,RPWTI,road,,completed,operational,,,adequate,The murraming was well done,,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1572337126314.jpg,corrected capitalization,,
yes,kapenguria,,,,,kapkoris,,kaprom,,PB,Kamatira-Kaa Komtin Road,Kamatira-Kaa Komtin Road,"494,917.00",,47,,RPWTI,road,,completed,operational,,,poor,"Poor maintenance due to heavy rains
The road is in a bad state",Culverts should be placed to ease drainage during heavy rains,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1572427691105.jpg,"on project list, the project name is ""Kamatira-Kaa Komtin Road"" --> which one is correct? description too general + tender sum to check if this is another road and not ID.47",The project name is correct as per the project list,
yes,kapenguria,,,,,kapenguria,mwotot,,,PB,Kapenguria Kakrut Road,Grading of Kapenguria-Kakrut road,"499,960.00",,70,,RPWTI,road,,completed,operational,,,adequate,Drainage system of the road was done well,,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1572335425826.jpg,corrected capitalization,,
yes,kapenguria,,,,,kapkoris,,kaprom,,PB,Kapkoris-Chemwayam and Ptop Parua Road,Kapkoris Chemwayam and Ptoparua Road,,"1,489,011.96 / 154,500.00",72,,RPWTI,road,,completed,operational,,,adequate,"It is poorly maintained 
It has to some extent made transportation easy in the Community",Culverts should be placed to enable proper drainage of rain water,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1572425566397.jpg,"here it was supposed to be mapped only the part of the road falling in Kapenguria, not the one falling in Tapach road --> to check and in case to remove that part + the second tender sum was including that second part of the Tapach road, so to confirm which is the correct tender sum. Description also too general",Isaac will confirm this --> can't you check on the track if we went to another ward?,
yes,kapenguria,,,,,kapkoris,,kaprom,,PB,Kapkoris-Chemwacham Road,Kapkoris-Chemwacham Road,"47,500.00 / 27,000.00 / 27,000.00",,77,,RPWTI,road,,completed,operational,,,adequate,"It needs urgent maintentance
It has facilitated easy transportation for the community",The road needs proper maintenance,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1572423918673.jpg,"corrected project name, description too general, 3 tender sums for same work on different Km of the same road, corrected grammar",,
yes,kapenguria,,,,,chemwochoi,,,naramam,PB,Kapkoris-Chepkechir-Emboasis Road,Road improvement and maintenance works,"1,931,711.97",,78,,RPWTI,road,,completed,operational,,,adequate,"Physical observation: The road was fairly maintained 
Impact: The road promotes easy accessibility of business in connecting local centers to main town",The road requires murruming and culverts,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1572344687835.jpg,corrected project name and punctuation,,
yes,kapenguria,,,,,kapenguria,kamatira,,,PB,Karas Kalomoyo Road,Improvement and Maintenance of Karas Kalomoyo Road,"900,000.00",,81,,RPWTI,road,,completed,operational,,,poor,The road is so disoriented-it has been eroded,The road needs proper maintenance,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1572336594284.jpg,corrected grammar,,
yes,kapenguria,,,,,kapkoris,,chemwochoi,,PB,Karas Rainbow Road,Proposed Improvement and Maintenance,"258,656.80",,82,,RPWTI,road,,completed,operational,,,adequate,There are some places destroyed by rain,Electricity,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1572344135921.jpg,nothing,,
yes,kapenguria,,,,,kapenguria,kamatira,,,PB,Karas-Cheptapesha-Katiporot-Kalomoywo Road,Proposed Opening and Grading of Karas-Cheptapesha-Kalomoywo Road,"2,712,080.00 / 2,465,000.00",,83,,RPWTI,road,,completed,operational,,,poor,The road is still poor: lack of proper drainange,Culvert is needed,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1572337257846.jpg,"corrected punctuation. two sums because of differen Km. Same road as the following row, but here opening/grading, while there is maintenance",,
yes,kapenguria,,,,,kapenguria,kamatira,,,PB,Karas-Cheptapesha-Katiporot-Kalomoywo Road,Proposed improvement and maintainance works,"2,851,280.00",,83,,RPWTI,road,,completed,operational,,,poor,The drainage system is still poor,A proper drainage system should be built,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1572337925036.jpg,"Same road as the previous row, but there opening/grading, while here is maintenance",,
yes,kapenguria,,,,,kapkoris,,chemwochoi,,PB,Kasowil-Tukumo-Karas Road,Improvement and maintenance works,"499,495.12",,84,,RPWTI,road,,completed,operational,,,poor,The road is still muddy and has a poor drainage system. There was nothing done to the road.,Drainange and maintenance should be improved.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1572340283252.jpg,"corrected project name --> duplication in this same day, which one is the correct one? This is the correct: merged information from the other",This should be retained,
yes,kapenguria,,,,,kapkoris,,kaprom,,PB,Roponywo-Kaprom Road,Proposed improvement and maintenance works ,,"1,999,167.20 / 599,982.16",107,,RPWTI,road,,completed,operational,,,adequate,"Destroyed by rain water cutting drainage ways
Very helpful in mobility",More funding for repair and maintenance,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1572347681951.jpg,"corrected project name, description too general, for tender sum to understand if together with 107/108 in project list or not",The description is correct as per the project list,
yes,kapenguria,,,,,kapkoris,,kaprom,,PB,Skat-Kaprom Road,lmprovement and maintenance works.,"249,992.00",,110,,RPWTI,road,,completed,operational,,,poor,"Road washed by rain water 
There is no drainage facilities such as culverts",Regular maintenance to ensure good condition of the road,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1572340467873.jpg,corrected project name,,
yes,kapenguria,,,,,chemwochoi,,,naramam,PB,Sukut Kopoch Emboasis Road,Proposed opening of Sukut Kopoch Road,"1,600,337.29",,111,,RPWTI,road,,on_going,,,,adequate,"The road is good 
It needs more culverts to help with water drainage during rainy seasons",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1572432963240.jpg,nothing,,
yes,kapenguria,,,,,kapenguria,mwotot,,,HQ,Office Road at Kapenguria,Maintenance of office road,"1,940,285.60",,121,,RPWTI,road,,completed,operational,,,excellent,"Physical observation 
The tarmacking was well done",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1572342021066.jpg,corrected project name: is it enough clear though?,"Not sure since the name is missing from the project list  --> well, in the description on project list is like that so I guess we can leave it like this",
yes,mnagei,keringet,,,mortome,,,,,PB,Cheptuya Mortome Road,Cheptuya Mortome Road,,,158,0,RPWTI,road,,completed,operational,,,adequate,Well constructed,Operational,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1572424443074.jpg,missing description (there was a comment in it before) + missing tender sum + you assigned the new project ID 158 but it's in Mnagei so the project ID should be over 318,,
yes,mnagei,mnagei,psigirio,,,,,,,PB,Bondeni Road,Bondeni Road,"848,830.00",,208,,RPWTI,road,,completed,operational,,,adequate,Project completed and operational,,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1572355415803.jpg,description too general,,
yes,mnagei,keringet,,,lokornoi,,,,,PB,"Cheptuya Chepkoghyo Lokornoi Road
",Cheptuya Chepkoghyo Lokornoi Road,"4,768,470.00",,215,,RPWTI,road,,completed,operational,,,adequate,Adequately constructed though there is feasible challenges of steep terrain and lack of culvert on the road,"Adequately constructed
There is need to set aside funds for the said road maintenance",https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1572427811819.jpg,missing description (there was a comment in it before),,
yes,mnagei,mnagei,yatoi,,,,,,,PB,Kaa-Tartar-Cormolee Road,Proposed improvement and maintenance of Kaa-Tartar-Cormolee Road,"1,980,816.00",,222,57,RPWTI,road,,completed,operational,,,adequate,The project is completed and operational,,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1572356260767.jpg,"corrected project name, description and project ID",,
yes,mnagei,kishaunet,,kishaunet,,,,,,PB,Kodongou-Kachepkai Road,Proposed grading of Kodongou-Kapchekai Road.,,,223,,RPWTI,road,,completed,operational,,,poor,"Physical observations: The road is in bad state.
 
Impact
Once the road is repaired it will be easily to the residents.",There is need to repair and clear the road to make it easier for the people around to access the neighbouring community.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1572347715270.jpg,is the project name correct? there is not such road in the project list while ID 223 should be road: KACHEPKAI-KAMITO-ROAD --> is it maybe the same road?? which name should we use then? Then add tender sum after solving this issue,"yes the name is correct.Kachepkai Kamito Road does not exist, --> so we use this name for that project ID? yes",
yes,mnagei,kishaunet,,kishaunet,,,,,,PB,Kamito-Kamayech-Serewo Road,Proposed opening of Kamito-Kamayech-Serewo Road(KM0+00KM-3-6+000),"2,227,780.00 / 2,339,140.00",,226,,RPWTI,road,,completed,operational,,,poor,Physical observations: The road is not clear and it is very steepy. Impact: It provides access route from Kishaunet to Serewo.,It needs to be cleared and properly levelled.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1572344459914.jpg,The tender sums are for different Km: shall we sum them or leave them both?,,
yes,mnagei,mnagei,keringet,,,,,,,PB,Kamorow-Kanglikwan Road,Kamorow-Kanglikwan Road,"16,941.00 / 15,000.00 / 475,992.00 / 96,200.00 / 31,000.00 / 31,000.00",,228,,RPWTI,road,,completed,operational,,,adequate,"The road is completed and operational, it needs to be maintained",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1572340980000.jpg,different tender sum because of different works on the same road --> shall we sum them or leave them separated? description too general,,
yes,mnagei,mnagei,keringet,,,,,,,PB,Kanglikwan-Kisii University Road,Kanglikwan-Kisii University Road,"1,805,076.00",,233,,LHPPUD,road,,completed,operational,,,adequate,"The project is complete, 
It needs to be murrumed or tarmacked",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1572341609674.jpg,"corrected ID --> it needs to be corrected on OSM too, it was wrongly as 223. description too general",Corrected this ID IS 233 as per the project list,
yes,mnagei,kishaunet,,lityei,,,,,,PB,Kaplelach Koror Road.,Kaplelach Koror Road.,"33,883.00",,240,,RPWTI,road,,completed,operational,,,adequate,"The condition of the road is fairly good despite the rains that is disturbing due to mud. 
The road has assisted general mobility in the region and in opening up of the area.",The need to put murrum in the road to reduce muddy.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1572348020472.jpg,corrected grammar,,
yes,mnagei,mnagei,keringet,,,,,,,PB,Keringet Town Road,Keringet Town Roads,"31,400.00 / 16,600.00",,245,,RPWTI,road,,completed,operational,,,adequate,"Project is completed, need to be maintained",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1572342020569.jpg,"corrected project name, description too general, 2 tender sums for different Km of the same road",,
yes,mnagei,mnagei,yatoi,,,,,,,PB,Kwa Chief-Chepangang Road,Kwa Chief Chepangang Road,"8,675,872.00",,254,,LHPPUD,road,,completed,operational,,,adequate,"Road completed, renovation and maintenance need to be done",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1572353928542.jpg,description too general,,
yes,mnagei,kishaunet,,kishaunet,,,,,,PB,Lopalal Road,Lopalal Road,"198,454.00",,272,,RPWTI,road,,completed,operational,,,adequate,"Physical observations: The road is bushy and the people around have encrouched it. 
Impact: It provides access from Kamito to Lopalal Village.",There is need to clear the road.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1572346582894.jpg,"description too general, corrected grammar",,
yes,mnagei,kishaunet,,lityei,,,,,,PB,Lutheran-Shalom School Road.,Murraming,"1,271,650.00",,273,,RPWTI,road,,completed,operational,,,adequate,"Well graded.
Bushy cleared
Murrumed.
Proper access and opening of other areas around.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1572353598574.jpg,corrected project name,,
yes,mnagei,kishaunet,,lityei,,,,,,PB,Makutano Primary-Paul Kide Residence Road.,Murraming,"1,177,046.00",,279,,RPWTI,road,,completed,operational,,,adequate,"The drainage system is not well established. 
The road needs to be maintained.
Improving mobility in the region.",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1572350894401.jpg,corrected grammar,,
yes,mnagei,mnagei,keringet,,,,,,,PB,Murkwijit-Kanglikwan-Keringet Road,Murkwijit-Kanglikwan-Keringet Road,"575,360.00",,286,,RPWTI,road,,completed,operational,,,adequate,"Project completed and operational, need to be tarmacked",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1572349083244.jpg,description too general,,
yes,mnagei,mnagei,psigirio,,,,,,,PB,Murkwijit-Tomkokalya Road,Murkwijit-Tomkokalya Road,"293,748.00 / 71,040.00 / 182,000.00",,288,,RPWTI,road,,completed,operational,,,adequate,"Project completed and operational
It needs to be murrummed or tarmacked",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1572350188140.jpg,"description too general, 3 tender sums for same road but different Km",,
yes,mnagei,kishaunet,,kishaunet,,,,,,PB,Nasokol-Kaplelach Karor road,Nasokol-Kaplelach Karor Road.,"595,388.00",,291,,RPWTI,road,,completed,operational,,,adequate,"Physical observations: The road is slippery. 
Impact. Provides access from town centre to Nasokol and Kaplelach Karor village.",There is need to gravel that road.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1572350644110.jpg,corrected grammar,,
yes,mnagei,kishaunet,,kishaunet,,,,,,PB,Nasokol-Kishaunet Road,Proposed improvement and maintenance works,"1,199,556.00",,292,,RPWTI,road,,completed,operational,,,adequate,"Physical observations: The road is slippery during rainy season.
Impact: It provides access from Nasokol to Kishaunet.",Immediate need of gravelling that road.,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1572349222261.jpg,corrected grammar,,
yes,mnagei,mnagei,psigirio,,,,,,,PB,Psigirio-Tomkokalya-Talau Road,"Proposed Improvement and Maintenance Works, Psigirio-Tomkokalya-Talau Road","797,964.00",,304,54,RPWTI,road,,completed,operational,,,adequate,"Project completed, further improvement and maintenance to be done",,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1572352303286.jpg,corrected project ID,,
yes,mnagei,mnagei,psigirio,,,,,,,PB,Superform-Daraja Road,Superform-Daraja Road,"543,808.00",,307,,LHPPUD,road,,completed,operational,,,adequate,The project is complete and operational,,https://kc.humanitarianresponse.info/attachment/original?media_file=mapkibera/attachments/1572357188239.jpg,"description too general, corrected project name and description",,
